rank,name,nota
1,Brass: Birmingham,8.62
2,Pandemic Legacy: Season 1,8.54
3,Gloomhaven,8.63
4,Ark Nova,8.54
5,Twilight Imperium: Fourth Edition,8.62
6,Terraforming Mars,8.38
7,Gloomhaven: Jaws of the Lion,8.51
8,War of the Ring: Second Edition,8.53
9,Star Wars: Rebellion,8.42
10,Dune: Imperium,8.39
11,Spirit Island,8.36
12,Gaia Project,8.41
13,Through the Ages: A New Story of Civilization,8.32
14,Twilight Struggle,8.26
15,Great Western Trail,8.24
16,Scythe,8.17
17,The Castles of Burgundy,8.13
18,7 Wonders Duel,8.10
19,Nemesis,8.31
20,Brass: Lancashire,8.19
21,Concordia,8.10
22,Eclipse: Second Dawn for the Galaxy,8.51
23,A Feast for Odin,8.18
24,Clank!: Legacy – Acquisitions Incorporated,8.58
25,Wingspan,8.08
26,Terra Mystica,8.08
27,Arkham Horror: The Card Game,8.14
28,Root,8.08
29,Lost Ruins of Arnak,8.08
30,Orléans,8.06
31,Everdell,8.06
32,Viticulture Essential Edition,8.01
33,Mage Knight Board Game,8.09
34,Barrage,8.18
35,Great Western Trail (Second Edition),8.44
36,The Crew: Mission Deep Sea,8.24
37,Food Chain Magnate,8.09
38,Too Many Bones,8.36
39,Marvel Champions: The Card Game,8.15
40,Pax Pamir: Second Edition,8.26
41,Puerto Rico,7.93
42,Underwater Cities,8.08
43,Caverna: The Cave Farmers,7.97
44,Blood Rage,7.95
45,Agricola,7.89
46,Anachrony,8.10
47,Cascadia,7.98
48,On Mars,8.22
49,Pandemic Legacy: Season 2,8.06
50,Mansions of Madness: Second Edition,7.97
51,Maracaibo,8.08
52,Pandemic Legacy: Season 0,8.46
53,Crokinole,8.00
54,Tzolk'in: The Mayan Calendar,7.87
55,Power Grid,7.82
56,Sleeping Gods,8.33
57,Lisboa,8.19
58,The Crew: The Quest for Planet Nine,7.86
59,Kanban EV,8.47
60,Clans of Caledonia,7.96
61,The Quacks of Quedlinburg,7.84
62,Le Havre,7.85
63,Star Wars: Imperial Assault,7.97
64,Mechs vs. Minions,7.99
65,The Gallerist,8.03
66,Paladins of the West Kingdom,8.00
67,Kingdom Death: Monster,8.52
68,Android: Netrunner,7.88
69,Grand Austria Hotel,7.92
70,Azul,7.76
71,Eclipse,7.84
72,Race for the Galaxy,7.75
73,Aeon's End,7.94
74,Clank!: A Deck-Building Adventure,7.80
75,Five Tribes,7.78
76,Cthulhu: Death May Die,8.17
77,Agricola (Revised Edition),7.96
78,Through the Ages: A Story of Civilization,7.86
79,Fields of Arle,8.04
80,Teotihuacan: City of Gods,7.88
81,Robinson Crusoe: Adventures on the Cursed Island,7.77
82,Lords of Waterdeep,7.74
83,The Voyages of Marco Polo,7.80
84,Dominant Species,7.82
85,7 Wonders,7.70
86,Beyond the Sun,7.97
87,The 7th Continent,7.89
88,Tainted Grail: The Fall of Avalon,8.15
89,Obsession,8.18
90,Architects of the West Kingdom,7.77
91,El Grande,7.73
92,Battlestar Galactica: The Board Game,7.73
93,The Search for Planet X,8.02
94,Keyflower,7.74
95,Caylus,7.73
96,Decrypto,7.78
97,Mombasa,7.86
98,Raiders of the North Sea,7.75
99,Inis,7.82
100,Dominion: Intrigue,7.69
101,The Lord of the Rings: Journeys in Middle-Earth,7.94
102,Troyes,7.72
103,Tigris & Euphrates,7.70
104,Eldritch Horror,7.76
105,Lorenzo il Magnifico,7.86
106,Heat: Pedal to the Metal,8.18
107,Twilight Imperium: Third Edition,7.80
108,Trickerion: Legends of Illusion,7.96
109,Russian Railroads,7.74
110,Patchwork,7.61
111,Trajan,7.75
112,Rising Sun,7.79
113,The Isle of Cats,7.76
114,Aeon's End: War Eternal,8.30
115,Dominion,7.60
116,Clank! In! Space!: A Deck-Building Adventure,7.81
117,Concordia Venus,8.29
118,Vinhos: Deluxe Edition,8.12
119,Codenames,7.56
120,Champions of Midgard,7.74
121,Pandemic: Iberia,7.90
122,Roll for the Galaxy,7.61
123,Yokohama,7.82
124,Forbidden Stars,7.97
125,Hansa Teutonica,7.72
126,Age of Steam,7.82
127,Cartographers,7.64
128,PARKS,7.70
129,Pandemic,7.55
130,Frosthaven,8.80
131,The Quest for El Dorado,7.65
132,Res Arcana,7.68
133,Watergate,7.82
134,Kemet,7.67
135,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.66
136,Targi,7.63
137,Alchemists,7.65
138,It's a Wonderful World,7.72
139,Dwellings of Eldervale,8.22
140,Carnegie,8.06
141,Star Realms,7.57
142,Endeavor: Age of Sail,7.91
143,Praga Caput Regni,7.97
144,Rajas of the Ganges,7.73
145,Legendary Encounters: An Alien Deck Building Game,7.77
146,Stone Age,7.53
147,Just One,7.60
148,Ticket to Ride: Europe,7.53
149,Star Wars: X-Wing Miniatures Game,7.65
150,The Lord of the Rings: The Card Game,7.66
151,Istanbul,7.55
152,Welcome To...,7.56
153,Terraforming Mars: Ares Expedition,7.72
154,Viscounts of the West Kingdom,7.88
155,Xia: Legends of a Drift System,7.87
156,Marco Polo II: In the Service of the Khan,8.00
157,That's Pretty Clever!,7.59
158,Glen More II: Chronicles,7.93
159,Magic: The Gathering,7.56
160,Chaos in the Old World,7.67
161,Tyrants of the Underdark,7.91
162,Jaipur,7.49
163,War of the Ring,7.77
164,Undaunted: Normandy,7.82
165,Hadrian's Wall,8.07
166,Descent: Journeys in the Dark (Second Edition),7.63
167,Azul: Summer Pavilion,7.68
168,War Chest,7.88
169,This War of Mine: The Board Game,7.79
170,Radlands,7.98
171,Memoir '44,7.54
172,Horrified,7.69
173,Cosmic Encounter,7.53
174,Railways of the World,7.67
175,Dominion (Second Edition),7.85
176,The Resistance: Avalon,7.53
177,Castles of Mad King Ludwig,7.52
178,Sagrada,7.49
179,Ra,7.52
180,Ora et Labora,7.69
181,Unmatched: Cobble & Fog,8.05
182,A Game of Thrones: The Board Game (Second Edition),7.55
183,Dead of Winter: A Crossroads Game,7.49
184,Ticket to Ride: Nordic Countries,7.63
185,Sekigahara: The Unification of Japan,8.01
186,Commands & Colors: Ancients,7.77
187,Suburbia,7.49
188,Space Base,7.56
189,Village,7.50
190,Captain Sonar,7.53
191,The Red Cathedral,7.76
192,Dinosaur Island,7.61
193,Go,7.64
194,Splendor,7.43
195,Calico,7.59
196,Dune,7.96
197,Coimbra,7.64
198,Near and Far,7.70
199,Star Realms: Colony Wars,7.81
200,Combat Commander: Europe,7.95
301,Alien Frontiers,7.37
302,Heaven & Ale,7.55
303,Final Girl,8.42
304,Century: Spice Road,7.32
305,Exit: The Game – The Abandoned Cabin,7.45
306,Antiquity,7.86
307,Arkham Horror (Third Edition),7.70
308,Tikal,7.33
309,Bruges,7.43
310,Tiny Epic Galaxies,7.35
311,Survive: Escape from Atlantis!,7.32
312,Lords of Hellas,7.71
313,Dead of Winter: The Long Night,7.55
314,Love Letter,7.22
315,Burgle Bros.,7.46
316,Oath: Chronicles of Empire and Exile,7.86
317,Bunny Kingdom,7.45
318,The King's Dilemma,7.82
319,Awkward Guests,7.61
320,Destinies,7.81
321,Above and Below,7.38
322,Acquire,7.33
323,Small World,7.22
324,Arboretum,7.32
325,Aeon's End: The New Age,8.58
326,Lost Cities,7.22
327,For Sale,7.24
328,Dungeon Lords,7.37
329,BattleLore: Second Edition,7.68
330,Sid Meier's Civilization: The Board Game,7.38
331,Merchants & Marauders,7.39
332,Bonfire,7.71
333,Bärenpark,7.32
334,Kemet: Blood and Sand,8.05
335,Tekhenu: Obelisk of the Sun,7.75
336,Nusfjord,7.65
337,Mission: Red Planet (Second Edition),7.42
338,Neuroshima Hex! 3.0,7.39
339,Letters from Whitechapel,7.36
340,Hannibal: Rome vs. Carthage,7.79
341,The Great Zimbabwe,7.82
342,Dixit,7.21
343,Mysterium,7.24
344,Bitoku,7.90
345,Harry Potter: Hogwarts Battle,7.39
346,Takenoko,7.23
347,Ghost Stories,7.28
348,Return to Dark Tower,8.31
349,Star Wars: Armada,7.82
350,Agricola: All Creatures Big and Small,7.35
351,51st State: Master Set,7.62
352,Mage Wars Arena,7.59
353,The Resistance,7.23
354,Chinatown,7.41
355,Altiplano,7.49
356,The King Is Dead: Second Edition,7.69
357,Innovation,7.29
358,Ginkgopolis,7.51
359,Gizmos,7.39
360,San Juan,7.24
361,Blood Bowl: Team Manager – The Card Game,7.39
362,Notre Dame,7.32
363,Carpe Diem,7.53
364,At the Gates of Loyang,7.37
365,The Pillars of the Earth,7.27
366,Newton,7.57
367,Gùgōng,7.46
368,Abyss,7.33
369,Long Shot: The Dice Game,7.74
370,Imperium: Classics,7.74
371,Evolution: Climate,7.52
372,Die Macher,7.60
373,Saint Petersburg,7.28
374,Twice as Clever!,7.46
375,Endeavor,7.39
376,Skull King,7.49
377,Pandemic: Fall of Rome,7.64
378,Downforce,7.32
379,Planet Unknown,7.98
380,Furnace,7.44
381,Maria,7.99
382,The Godfather: Corleone's Empire,7.53
383,Here I Stand,7.89
384,Raiders of Scythia,7.80
385,King of Tokyo,7.15
386,In the Year of the Dragon,7.31
387,Ticket to Ride: Märklin,7.41
388,Tiny Towns,7.26
389,Bruxelles 1893,7.62
390,Azul: Stained Glass of Sintra,7.33
391,London (Second Edition),7.53
392,Schotten Totten,7.34
393,Love Letter,7.52
394,San Juan (Second Edition),7.47
395,Civilization,7.50
396,Arkham Horror,7.24
397,Dice Forge,7.24
398,Sidereal Confluence,7.79
399,Cloudspire,8.20
400,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.63
401,Codenames: Pictures,7.20
402,Smartphone Inc.,7.60
403,Sword & Sorcery,7.93
404,Clash of Cultures,7.58
405,Nippon,7.65
406,Mind MGMT: The Psychic Espionage “Game.”,8.07
407,Wingspan Asia,8.38
408,Stockpile,7.49
409,Mythic Battles: Pantheon,8.36
410,Sprawlopolis,7.37
411,Skull,7.20
412,Santa Maria,7.49
413,Space Hulk (Third Edition),7.53
414,Dune,7.60
415,Firefly: The Game,7.39
416,Spartacus: A Game of Blood and Treachery,7.47
417,Claustrophobia,7.48
418,Macao,7.41
419,Fresco,7.26
420,Flamecraft,7.55
421,Advanced Squad Leader,8.00
422,Mice and Mystics,7.25
423,So Clover!,7.59
424,The Manhattan Project,7.33
425,Cubitos,7.48
426,Wavelength,7.32
427,Biblios,7.20
428,Blood on the Clocktower,8.33
429,Thunderstone Quest,7.80
430,Flash Point: Fire Rescue,7.17
431,Project L,7.49
432,Unmatched: Robin Hood vs. Bigfoot,7.97
433,Blitzkrieg!: World War Two in 20 Minutes,7.63
434,Kingsburg,7.18
435,Millennium Blades,7.68
436,Imperial Settlers: Empires of the North,7.47
437,Chess,7.18
438,King of Tokyo: Dark Edition,7.71
439,Glen More,7.31
440,Heroscape Master Set: Rise of the Valkyrie,7.45
441,Lancaster,7.40
442,Pipeline,7.64
443,A Few Acres of Snow,7.38
444,Quadropolis,7.24
445,Pandemic: Reign of Cthulhu,7.37
446,Summoner Wars (Second Edition),8.20
447,Lord of the Rings: The Confrontation,7.48
448,Point Salad,7.18
449,PitchCar,7.26
450,Earth,7.91
451,Mandala,7.56
452,Black Orchestra,7.51
453,Amerigo,7.45
454,Mystic Vale,7.27
455,Canvas,7.35
456,Middara: Unintentional Malum – Act 1,8.67
457,Charterstone,7.24
458,Commands & Colors: Napoleonics,8.01
459,BattleLore,7.35
460,Pandemic: The Cure,7.26
461,Tiletum,8.04
462,Stuffed Fables,7.48
463,Amun-Re,7.30
464,Blood Bowl: Living Rulebook,7.84
465,Honey Buzz,7.66
466,Risk Legacy,7.38
467,Exit: The Game – Dead Man on the Orient Express,7.60
468,Colt Express,7.09
469,Sheriff of Nottingham,7.09
470,Citadels,7.26
471,Blood Bowl (Third Edition),7.55
472,Forbidden Desert,7.09
473,Boonlake,7.71
474,Citadels,7.07
475,Descent: Journeys in the Dark,7.28
476,Shadows of Brimstone: City of the Ancients,7.96
477,Deus,7.29
478,Hadara,7.43
479,Mansions of Madness,7.27
480,Lords of Vegas,7.35
481,Fire in the Lake,8.06
482,ISS Vanguard,8.84
483,Shadows over Camelot,7.10
484,Hanabi,7.05
485,Oceans,7.50
486,Betrayal Legacy,7.69
487,Clank!: Catacombs,8.43
488,No Thanks!,7.07
489,"Labyrinth: The War on Terror, 2001 – ?",7.59
490,1775: Rebellion,7.64
491,Raptor,7.26
492,Friday,7.12
493,Zombie Kidz Evolution,7.68
494,Junk Art,7.37
495,1846: The Race for the Midwest,7.95
496,CATAN,7.11
497,Fantastic Factories,7.48
498,Potion Explosion,7.13
499,Imhotep,7.15
500,Freedom: The Underground Railroad,7.58
501,Dawn of the Zeds (Third Edition),8.17
502,Bohnanza,7.04
503,Blackout: Hong Kong,7.45
504,Railroad Ink: Deep Blue Edition,7.20
505,Thurn and Taxis,7.09
506,Small World Underground,7.24
507,Argent: The Consortium,7.65
508,Marvel United: X-Men,8.18
509,"Air, Land, & Sea",7.46
